cnt,dteday,holiday_0,holiday_1,hr,hum,mnth_1,mnth_10,mnth_11,mnth_12,mnth_2,mnth_3,mnth_4,mnth_5,mnth_6,mnth_7,mnth_8,mnth_9,season_1,season_2,season_3,season_4,temp_PCA,weathersit_1,weathersit_2,weathersit_3,weathersit_4,weekday,windspeed,workingday_0,workingday_1
16,2011-01-01,1,0,-1.670003982455765,0.9473724999661597,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.2314706242797162,1,0,0,0,6,-0.24008619666704767,1,0
40,2011-01-01,1,0,-1.5253742192558073,0.8955386933154696,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.328805976599118,1,0,0,0,6,-0.24008619666704767,1,0
32,2011-01-01,1,0,-1.3807444560558495,0.8955386933154696,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.328805976599118,1,0,0,0,6,-0.24008619666704767,1,0
13,2011-01-01,1,0,-1.2361146928558915,0.6363696600620191,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.2314706242797078,1,0,0,0,6,-0.24008619666704767,1,0
1,2011-01-01,1,0,-1.0914849296559337,0.6363696600620191,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.2314706242797078,1,0,0,0,6,-0.24008619666704767,1,0
1,2011-01-01,1,0,-0.9468551664559759,0.6363696600620191,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.3098220128577365,0,1,0,0,6,-1.2519325032385995,1,0
2,2011-01-01,1,0,-0.8022254032560181,0.8955386933154696,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.328805976599118,1,0,0,0,6,-0.24008619666704767,1,0
3,2011-01-01,1,0,-0.6575956400560602,1.2065415332196097,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.4258827434776766,1,0,0,0,6,-0.24008619666704767,1,0
8,2011-01-01,1,0,-0.5129658768561024,0.6363696600620191,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.2314706242797078,1,0,0,0,6,-0.24008619666704767,1,0
14,2011-01-01,1,0,-0.3683361136561445,0.6882034667127092,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.8426463858837703,1,0,0,0,6,-0.24008619666704767,1,0
36,2011-01-01,1,0,-0.22370635045618667,0.6882034667127092,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.5511574998072427,1,0,0,0,6,0.4002857436522538,1,0
56,2011-01-01,1,0,-0.07907658725622882,0.9473724999661597,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.7658906422732699,1,0,0,0,6,0.7013297752307827,1,0
84,2011-01-01,1,0,0.06555317594372903,0.7400372733633993,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.35674538060927385,1,0,0,0,6,0.7013297752307827,1,0
94,2011-01-01,1,0,0.21018293914368688,0.4808682401099487,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.1623332614113049,0,1,0,0,6,0.8513483729070389,1,0
106,2011-01-01,1,0,0.3548127023436447,0.4808682401099487,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.1623332614113049,0,1,0,0,6,0.7013297752307827,1,0
110,2011-01-01,1,0,0.49944246554360255,0.7400372733633993,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.2594100282898636,0,1,0,0,6,0.8513483729070389,1,0
93,2011-01-01,1,0,0.6440722287435604,0.9992063066168493,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.35674538060927385,0,1,0,0,6,0.8513483729070389,1,0
67,2011-01-01,1,0,0.7887019919435182,0.9992063066168493,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.2594100282898636,0,1,0,0,6,0.7013297752307827,1,0
35,2011-01-01,1,0,0.9333317551434761,1.31020914652099,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.35674538060927385,0,0,1,0,6,0.4002857436522538,1,0
37,2011-01-01,1,0,1.077961518343434,1.31020914652099,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.35674538060927385,0,0,1,0,6,0.4002857436522538,1,0
36,2011-01-01,1,0,1.2225912815433917,1.2583753398703,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.45382214748783234,0,1,0,0,6,0.4002857436522538,1,0
34,2011-01-01,1,0,1.3672210447433497,1.2583753398703,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.45382214748783234,0,1,0,0,6,-0.200795483278788,1,0
28,2011-01-01,1,0,1.5118508079433075,1.62121198642513,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.45382214748783234,0,1,0,0,6,0.10024854829974054,1,0
39,2011-01-01,1,0,1.6564805711432653,1.31020914652099,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.1623332614113049,0,1,0,0,6,0.8513483729070389,1,0
17,2011-01-02,1,0,-1.670003982455765,1.31020914652099,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.1623332614113049,0,1,0,0,0,0.8513483729070389,1,0
17,2011-01-02,1,0,-1.5253742192558073,1.62121198642513,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.2594100282898636,0,1,0,0,0,0.4002857436522538,1,0
9,2011-01-02,1,0,-1.3807444560558495,1.9322148263292707,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.35674538060927385,0,1,0,0,0,0.7013297752307827,1,0
6,2011-01-02,1,0,-1.2361146928558915,1.62121198642513,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.1623332614113049,0,1,0,0,0,-0.200795483278788,1,0
3,2011-01-02,1,0,-1.0914849296559337,1.62121198642513,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.1623332614113049,0,1,0,0,0,-0.200795483278788,1,0
2,2011-01-02,1,0,-0.8022254032560181,0.7400372733633993,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.35674538060927385,0,0,1,0,0,0.8513483729070389,1,0
1,2011-01-02,1,0,-0.6575956400560602,0.6882034667127092,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.45382214748783234,0,1,0,0,0,-0.200795483278788,1,0
8,2011-01-02,1,0,-0.5129658768561024,0.4290344334592586,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.45382214748783234,0,0,1,0,0,0.10024854829974054,1,0
20,2011-01-02,1,0,-0.3683361136561445,0.6882034667127092,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.5511574998072427,0,1,0,0,0,0.10024854829974054,1,0
53,2011-01-02,1,0,-0.22370635045618667,0.9473724999661597,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.7265856552638299,0,1,0,0,0,0.10024854829974054,1,0
70,2011-01-02,1,0,-0.07907658725622882,0.4290344334592586,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.7658906422732699,0,1,0,0,0,0.4002857436522538,1,0
93,2011-01-02,1,0,0.06555317594372903,0.16986540020580868,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.7658906422732699,0,1,0,0,0,0.8513483729070389,1,0
75,2011-01-02,1,0,0.21018293914368688,0.16986540020580868,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.7265856552638299,0,1,0,0,0,-0.8018767102098295,1,0
59,2011-01-02,1,0,0.3548127023436447,0.6882034667127092,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.7265856552638299,0,0,1,0,0,-0.200795483278788,1,0
74,2011-01-02,1,0,0.49944246554360255,0.9473724999661597,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.8239210075832399,0,0,1,0,0,-0.500832678631301,1,0
76,2011-01-02,1,0,0.6440722287435604,0.4290344334592586,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.8239210075832399,0,0,1,0,0,-0.500832678631301,1,0
65,2011-01-02,1,0,0.7887019919435182,-0.2966388596504023,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.8239210075832399,1,0,0,0,0,-0.200795483278788,1,0
53,2011-01-02,1,0,0.9333317551434761,-0.8668107328079927,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.7658906422732699,0,1,0,0,0,1.1523924044855678,1,0
30,2011-01-02,1,0,1.077961518343434,-1.0741459594107532,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.9993491630398271,1,0,0,0,0,2.3545548583476505,1,0
22,2011-01-02,1,0,1.2225912815433917,-1.229647379362823,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.0966845153592373,1,0,0,0,0,1.452429599838081,1,0
31,2011-01-02,1,0,1.3672210447433497,-0.9704783461093729,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.3301430361257942,1,0,0,0,0,1.1523924044855678,1,0
9,2011-01-02,1,0,1.5118508079433075,-0.9704783461093729,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.4274783884452047,1,0,0,0,0,0.8513483729070389,1,0
8,2011-01-02,1,0,1.6564805711432653,-0.8149769261573029,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.446203766745735,1,0,0,0,0,-0.500832678631301,1,0
5,2011-01-03,1,0,-1.670003982455765,-0.9704783461093729,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.5245551553237635,1,0,0,0,1,1.452429599838081,0,1
2,2011-01-03,1,0,-1.5253742192558073,-0.9704783461093729,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.660936909211762,1,0,0,0,1,2.0535108267691227,0,1
1,2011-01-03,1,0,-1.0914849296559337,-0.8149769261573029,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.855349028409731,1,0,0,0,1,1.7534736314166093,0,1
3,2011-01-03,1,0,-0.9468551664559759,-0.8149769261573029,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.855349028409731,1,0,0,0,1,0.7013297752307827,0,1
30,2011-01-03,1,0,-0.8022254032560181,-0.6594755062052325,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.9917307822977293,1,0,0,0,1,1.7534736314166093,0,1
64,2011-01-03,1,0,-0.6575956400560602,-0.6594755062052325,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.913379393719701,1,0,0,0,1,-0.200795483278788,0,1
154,2011-01-03,1,0,-0.5129658768561024,-0.6594755062052325,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.952684380729141,1,0,0,0,1,0.7013297752307827,0,1
88,2011-01-03,1,0,-0.3683361136561445,-1.022312152760063,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.855349028409731,1,0,0,0,1,1.7534736314166093,0,1
