cnt,dteday,hr,hum,temp,weekday,windspeed,season_1,season_2,season_3,season_4,holiday_0,holiday_1,workingday_0,workingday_1,weathersit_1,weathersit_2,weathersit_3,weathersit_4,mnth_1,mnth_2,mnth_3,mnth_4,mnth_5,mnth_6,mnth_7,mnth_8,mnth_9,mnth_10,mnth_11,mnth_12
16,2011-01-01,0,0.9473724999661597,-1.3346475857785418,6,-1.5538885118643786,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,2011-01-01,1,0.8955386933154696,-1.4385163971262496,6,-1.5538885118643786,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,2011-01-01,2,0.8955386933154696,-1.4385163971262496,6,-1.5538885118643786,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,2011-01-01,3,0.6363696600620191,-1.3346475857785418,6,-1.5538885118643786,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2011-01-01,4,0.6363696600620191,-1.3346475857785418,6,-1.5538885118643786,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2011-01-01,5,0.6363696600620191,-1.3346475857785418,6,-0.8214836522335098,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2011-01-01,6,0.8955386933154696,-1.4385163971262496,6,-1.5538885118643786,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2011-01-01,7,1.2065415332196097,-1.5423852084739573,6,-1.5538885118643786,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,2011-01-01,8,0.6363696600620191,-1.3346475857785418,6,-1.5538885118643786,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,2011-01-01,9,0.6882034667127092,-0.9191723403877107,6,-1.5538885118643786,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,2011-01-01,10,0.6882034667127092,-0.6075659063445873,6,0.5198962301931148,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,2011-01-01,11,0.9473724999661597,-0.7114347176922952,6,0.7643036554493984,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84,2011-01-01,12,0.7400372733633993,-0.3998282836491717,6,0.7643036554493984,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
94,2011-01-01,13,0.4808682401099487,-0.19209066095375596,6,0.8860986600085493,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106,2011-01-01,14,0.4808682401099487,-0.19209066095375596,6,0.7643036554493984,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110,2011-01-01,15,0.7400372733633993,-0.29595947230146386,6,0.8860986600085493,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
93,2011-01-01,16,0.9992063066168493,-0.3998282836491717,6,0.8860986600085493,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67,2011-01-01,17,0.9992063066168493,-0.29595947230146386,6,0.7643036554493984,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,2011-01-01,18,1.31020914652099,-0.3998282836491717,6,0.5198962301931148,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
37,2011-01-01,19,1.31020914652099,-0.3998282836491717,6,0.5198962301931148,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
36,2011-01-01,20,1.2583753398703,-0.5036970949968793,6,0.5198962301931148,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,2011-01-01,21,1.2583753398703,-0.5036970949968793,6,0.03189879581852919,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,2011-01-01,22,1.62121198642513,-0.5036970949968793,6,0.2763062210748125,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,2011-01-01,23,1.31020914652099,-0.19209066095375596,6,0.8860986600085493,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,2011-01-02,0,1.31020914652099,-0.19209066095375596,0,0.8860986600085493,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,2011-01-02,1,1.62121198642513,-0.29595947230146386,0,0.5198962301931148,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,2011-01-02,2,1.9322148263292707,-0.3998282836491717,0,0.7643036554493984,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,2011-01-02,3,1.62121198642513,-0.19209066095375596,0,0.03189879581852919,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2011-01-02,4,1.62121198642513,-0.19209066095375596,0,0.03189879581852919,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2011-01-02,6,0.7400372733633993,-0.3998282836491717,0,0.8860986600085493,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2011-01-02,7,0.6882034667127092,-0.5036970949968793,0,0.03189879581852919,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,2011-01-02,8,0.4290344334592586,-0.5036970949968793,0,0.2763062210748125,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
20,2011-01-02,9,0.6882034667127092,-0.6075659063445873,0,0.2763062210748125,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,2011-01-02,10,0.9473724999661597,-0.7114347176922952,0,0.2763062210748125,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70,2011-01-02,11,0.4290344334592586,-0.7114347176922952,0,0.5198962301931148,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
93,2011-01-02,12,0.16986540020580868,-0.7114347176922952,0,0.8860986600085493,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75,2011-01-02,13,0.16986540020580868,-0.7114347176922952,0,-0.4560986385560562,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,2011-01-02,14,0.6882034667127092,-0.7114347176922952,0,0.03189879581852919,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
74,2011-01-02,15,0.9473724999661597,-0.8153035290400027,0,-0.2116912132997729,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
76,2011-01-02,16,0.4290344334592586,-0.8153035290400027,0,-0.2116912132997729,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
65,2011-01-02,17,-0.2966388596504023,-0.8153035290400027,0,0.03189879581852919,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,2011-01-02,18,-0.8668107328079927,-0.7114347176922952,0,1.1305060852648328,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,2011-01-02,19,-1.0741459594107532,-0.9191723403877107,0,2.106500954014004,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,2011-01-02,20,-1.229647379362823,-1.0230411517354185,0,1.374096094383135,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,2011-01-02,21,-0.9704783461093729,-1.230778774430834,0,1.1305060852648328,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,2011-01-02,22,-0.9704783461093729,-1.3346475857785418,0,0.8860986600085493,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,2011-01-02,23,-0.8149769261573029,-1.4385163971262496,0,-0.2116912132997729,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,2011-01-03,0,-0.9704783461093729,-1.4385163971262496,1,1.374096094383135,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2011-01-03,1,-0.9704783461093729,-1.5423852084739573,1,1.8620935287577205,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2011-01-03,4,-0.8149769261573029,-1.7501228311693733,1,1.6185035196394182,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2011-01-03,5,-0.8149769261573029,-1.7501228311693733,1,0.7643036554493984,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,2011-01-03,6,-0.6594755062052325,-1.8539916425170808,1,1.6185035196394182,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
64,2011-01-03,7,-0.6594755062052325,-1.8539916425170808,1,0.03189879581852919,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
154,2011-01-03,8,-0.6594755062052325,-1.8539916425170808,1,0.7643036554493984,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88,2011-01-03,9,-1.022312152760063,-1.7501228311693733,1,1.6185035196394182,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,2011-01-03,10,-1.022312152760063,-1.6462540198216653,1,0.5198962301931148,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
51,2011-01-03,11,-1.177813572712133,-1.5423852084739573,1,1.1305060852648328,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
61,2011-01-03,12,-1.4369826059655837,-1.4385163971262496,1,0.8860986600085493,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
61,2011-01-03,13,-1.4369826059655837,-1.3346475857785418,1,0.7643036554493984,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77,2011-01-03,14,-1.696151639219034,-1.230778774430834,1,0.7643036554493984,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,2011-01-03,15,-1.696151639219034,-1.230778774430834,1,0.5198962301931148,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76,2011-01-03,16,-1.696151639219034,-1.230778774430834,1,0.5198962301931148,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
157,2011-01-03,17,-1.696151639219034,-1.3346475857785418,1,0.2763062210748125,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
157,2011-01-03,18,-1.5924840259176536,-1.3346475857785418,1,-0.6996886476743587,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110,2011-01-03,19,-0.8149769261573029,-1.5423852084739573,1,-1.5538885118643786,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,2011-01-03,20,-0.8149769261573029,-1.5423852084739573,1,-0.6996886476743587,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,2011-01-03,21,0.06619778690442844,-1.6462540198216653,1,-0.4560986385560562,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,2011-01-03,22,0.32536682015787843,-1.8539916425170808,1,-0.4560986385560562,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,2011-01-03,23,-0.40030647295178196,-1.6462540198216653,1,-0.6996886476743587,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,2011-01-04,0,-0.40030647295178196,-1.7501228311693733,2,-0.6996886476743587,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2011-01-04,1,-0.1929712463490221,-1.7501228311693733,2,-0.6996886476743587,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2011-01-04,2,0.014363980253738333,-1.8539916425170808,2,-0.4560986385560562,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2011-01-04,4,0.014363980253738333,-1.8539916425170808,2,-0.8214836522335098,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
